,carat,cut,color,clarity,depth,table,price,x,y,z
9388,1.07,Very Good,F,SI1,61.6,58.0,6061,6.54,6.6,4.05
9389,1.11,Very Good,H,VS1,63.2,57.0,6061,6.61,6.53,4.15
9390,1.17,Very Good,D,SI2,60.9,60.0,6062,6.72,6.78,4.11
9391,1.05,Very Good,D,SI1,59.3,58.0,6063,6.68,6.74,3.98
9392,1.49,Very Good,F,I1,62.6,53.6,6064,7.28,7.31,4.57
9393,1.02,Ideal,H,VS2,61.8,55.0,6065,6.48,6.51,4.01
9394,1.21,Premium,E,SI2,58.8,58.0,6065,7.07,6.91,4.11
9395,1.01,Good,G,VS1,62.7,57.0,6066,6.33,6.42,4.0
9396,1.01,Premium,F,VS1,62.6,58.0,6066,6.37,6.48,4.02
9397,1.01,Premium,D,SI1,62.0,60.0,6066,6.37,6.4,3.96
9398,1.25,Ideal,I,SI1,59.6,59.0,6066,7.01,7.09,4.2
9399,1.06,Ideal,I,VVS2,62.2,55.0,6069,6.51,6.55,4.06
9400,1.05,Very Good,G,VS2,62.8,58.0,6070,6.44,6.48,4.06
9401,1.05,Premium,G,VS2,61.8,58.0,6070,6.52,6.59,4.05
9402,1.14,Ideal,D,SI1,60.9,56.0,6070,6.75,6.81,4.13
9403,1.33,Very Good,H,SI2,60.8,59.0,6071,7.07,7.11,4.31
9404,1.22,Very Good,H,SI1,61.2,60.0,6071,6.83,6.9,4.2
9405,1.21,Premium,E,SI2,61.9,60.0,6071,6.78,6.73,4.18
9406,1.01,Very Good,F,VS2,61.0,57.0,6073,6.42,6.5,3.94
9407,1.25,Very Good,E,SI2,60.8,55.0,6073,6.94,7.0,4.24
9408,1.0,Ideal,D,SI1,62.7,57.0,6073,6.34,6.38,3.99
9409,1.0,Good,E,VS2,61.5,62.0,6073,6.37,6.42,3.93
9410,1.13,Ideal,H,SI1,61.5,56.0,6075,6.69,6.71,4.12
9411,1.18,Ideal,H,SI1,61.6,55.5,6076,6.77,6.85,4.19
9412,1.24,Ideal,I,VS2,62.0,55.0,6076,6.9,6.87,4.27
9413,1.11,Ideal,I,VS1,61.0,57.0,6077,6.68,6.72,4.09
9414,1.08,Ideal,D,SI1,61.8,56.0,6078,6.62,6.69,4.11
9415,1.34,Ideal,H,VS2,61.2,56.0,6078,7.09,7.05,4.33
9416,1.02,Good,G,VS2,63.8,59.0,6080,6.34,6.27,4.02
9417,1.01,Fair,D,VS2,65.2,57.0,6081,6.23,6.19,4.05
9418,1.01,Very Good,F,VS2,62.5,56.0,6083,6.4,6.44,4.01
9419,1.16,Ideal,H,SI1,61.8,54.0,6084,6.74,6.81,4.19
9420,1.25,Ideal,J,VVS2,61.1,57.0,6084,6.94,6.91,4.23
9421,1.25,Premium,I,VS2,61.0,59.0,6084,6.98,6.89,4.23
9422,1.26,Premium,E,SI2,62.9,59.0,6085,6.85,6.82,4.3
9423,1.52,Premium,H,SI2,62.6,60.0,6086,7.34,7.3,4.58
9424,1.35,Very Good,H,SI2,62.2,56.0,6088,7.02,7.06,4.38
9425,1.23,Ideal,H,SI2,62.1,55.9,6088,6.82,6.85,4.24
9426,1.11,Good,D,SI1,57.8,61.0,6088,6.83,6.78,3.93
9427,1.52,Ideal,J,SI2,62.7,56.0,6089,7.28,7.2,4.54
9428,1.01,Good,F,VS2,62.5,62.0,6089,6.32,6.38,3.97
9429,1.31,Premium,H,SI2,60.0,57.0,6089,7.1,7.07,4.25
9430,1.11,Ideal,I,SI1,61.7,57.0,6090,6.61,6.64,4.09
9431,2.06,Good,H,I1,64.3,58.0,6091,8.03,7.99,5.15
9432,1.21,Premium,F,SI2,59.0,60.0,6092,6.99,6.94,4.11
9433,1.28,Premium,I,SI1,62.6,55.0,6093,6.97,6.93,4.35
9434,1.28,Premium,H,SI2,60.2,58.0,6093,7.13,7.03,4.26
9435,1.04,Very Good,G,VS2,62.3,54.0,6095,6.49,6.55,4.06
9436,1.14,Ideal,H,VS2,62.6,56.0,6095,6.68,6.65,4.17
9437,1.14,Premium,H,VS2,60.2,58.0,6095,6.81,6.74,4.08
9438,1.54,Ideal,H,SI2,61.8,57.0,6095,7.43,7.35,4.57
9439,1.31,Premium,H,VS2,59.6,58.0,6095,7.14,7.08,4.24
9440,1.05,Premium,G,VS2,63.0,57.0,6096,6.51,6.48,4.09
9441,1.08,Very Good,G,VS2,63.2,60.0,6096,6.53,6.44,4.1
9442,1.01,Ideal,D,SI1,63.0,57.0,6097,6.43,6.34,4.02
9443,1.29,Ideal,J,SI1,61.5,57.0,6097,7.0,7.06,4.32
9444,1.01,Premium,F,VS2,59.9,61.0,6097,6.5,6.46,3.88
9445,1.01,Premium,F,VS2,61.1,59.0,6097,6.44,6.35,3.91
9446,1.01,Premium,F,VS2,62.0,59.0,6097,6.45,6.38,3.98
9447,1.01,Premium,F,VS2,62.4,58.0,6097,6.43,6.36,3.99
9448,1.01,Good,F,VS2,63.6,59.0,6097,6.36,6.32,4.03
9449,1.01,Premium,F,VS2,62.1,60.0,6097,6.43,6.36,3.97
9450,1.21,Premium,I,SI1,61.7,56.0,6098,6.87,6.82,4.22
9451,1.0,Very Good,F,VS1,58.1,62.0,6098,6.57,6.62,3.83
9452,1.0,Good,F,VS2,63.8,58.0,6098,6.28,6.32,4.02
9453,1.0,Very Good,F,VS1,58.4,63.0,6098,6.58,6.47,3.81
9454,1.12,Very Good,E,SI1,61.3,63.0,6098,6.68,6.73,4.11
9455,1.21,Ideal,H,SI2,61.1,56.0,6098,6.92,6.87,4.21
9456,1.21,Premium,H,SI2,58.8,60.0,6098,6.99,6.95,4.1
9457,1.1,Premium,E,SI1,60.7,55.0,6098,6.75,6.66,4.07
9458,1.29,Very Good,I,VS2,61.3,58.0,6099,6.98,7.04,4.3
9459,1.31,Very Good,J,VS1,63.7,55.0,6101,6.94,7.01,4.44
9460,1.07,Very Good,G,VS2,61.9,60.0,6101,6.48,6.55,4.03
9461,1.02,Very Good,E,VS2,60.3,60.0,6103,6.58,6.48,3.94
9462,1.02,Very Good,I,VS2,61.5,57.0,6104,6.4,6.44,3.95
9463,1.01,Very Good,G,VS2,61.9,56.0,6105,6.34,6.42,3.95
9464,1.15,Ideal,H,SI1,62.4,54.0,6106,6.71,6.76,4.2
9465,1.01,Premium,D,VS2,59.2,56.0,6108,6.48,6.43,3.82
9466,1.01,Premium,G,VS2,60.6,61.0,6108,6.4,6.33,3.86
9467,1.01,Ideal,G,VS2,62.4,56.0,6108,6.41,6.37,3.99
9468,1.01,Premium,G,VS2,58.5,61.0,6108,6.57,6.52,3.83
9469,1.01,Very Good,G,VS2,63.1,59.0,6108,6.4,6.37,4.03
9470,1.01,Premium,G,VS2,62.4,58.0,6108,6.41,6.38,3.99
9471,1.01,Ideal,G,VS2,61.8,56.0,6108,6.45,6.42,3.98
9472,1.01,Premium,G,VS2,61.6,60.0,6108,6.51,6.42,3.98
9473,1.47,Fair,F,SI2,65.9,59.0,6108,6.99,6.94,4.59
9474,1.01,Premium,G,VS2,61.5,60.0,6108,6.45,6.42,3.96
9475,1.01,Premium,G,VS2,59.2,59.0,6108,6.59,6.52,3.88
9476,1.12,Ideal,H,VS2,61.8,55.0,6110,6.64,6.7,4.12
9477,1.24,Ideal,F,SI2,61.7,57.0,6111,6.91,6.86,4.25
9478,1.07,Premium,D,SI1,60.2,55.0,6112,6.68,6.64,4.01
9479,1.18,Ideal,G,SI1,62.5,55.0,6112,6.77,6.74,4.22
9480,1.06,Ideal,E,SI1,61.8,56.0,6114,6.59,6.52,4.05
9481,1.0,Very Good,D,VS2,63.4,57.0,6115,6.36,6.32,4.02
9482,1.5,Very Good,I,SI2,63.2,52.0,6115,7.28,7.24,4.59
9483,1.0,Premium,G,VS1,59.2,60.0,6115,6.6,6.54,3.89
9484,1.0,Fair,F,VS1,65.0,59.0,6115,6.19,6.14,4.01
9485,1.12,Premium,H,VS1,61.6,58.0,6115,6.64,4.11,3.7
9486,1.0,Premium,G,VS1,60.6,59.0,6115,6.48,6.42,3.91
9487,1.33,Ideal,J,VS1,61.3,57.0,6118,7.11,7.08,4.35
9488,1.22,Premium,I,VS1,61.1,58.0,6121,6.91,6.84,4.2
9489,1.04,Premium,G,VS2,62.2,58.0,6122,6.49,6.4,4.01
9490,1.21,Very Good,D,SI2,62.3,59.0,6125,6.74,6.78,4.21
9491,1.02,Very Good,G,VS1,62.0,59.0,6126,6.39,6.45,3.98
9492,1.53,Premium,J,SI1,60.1,59.0,6126,7.52,7.5,4.51
9493,1.19,Very Good,G,SI1,62.8,57.0,6127,6.71,6.77,4.23
9494,1.01,Very Good,E,VS2,62.7,60.0,6128,6.31,6.38,3.98
9495,1.52,Fair,H,SI2,64.9,58.0,6129,7.16,7.13,4.64
9496,1.2,Premium,H,SI1,62.9,56.0,6129,6.8,6.74,4.26
9497,1.2,Very Good,E,SI2,61.4,58.0,6130,6.81,6.88,4.2
9498,1.05,Very Good,H,VS1,59.5,56.0,6132,6.62,6.68,3.96
9499,1.12,Very Good,D,SI1,59.9,57.0,6132,6.76,6.8,4.06
9500,1.01,Ideal,G,VS2,60.4,61.0,6132,6.45,6.5,3.91
9501,1.22,Ideal,F,SI2,61.7,54.9,6132,6.84,6.9,4.24
9502,1.01,Ideal,E,SI1,61.1,55.0,6132,6.47,6.52,3.97
9503,1.0,Premium,H,VVS1,62.3,60.0,6132,6.36,6.28,3.94
9504,1.5,Premium,I,SI2,62.9,57.0,6132,7.28,7.26,4.57
9505,1.16,Premium,G,SI1,62.5,58.0,6132,6.73,6.68,4.19
9506,1.04,Ideal,H,VS2,62.2,57.0,6133,6.46,6.49,4.03
9507,1.0,Ideal,H,VS2,61.2,60.0,6133,6.4,6.45,3.93
9508,1.13,Ideal,G,SI1,62.0,55.0,6133,6.68,6.71,4.15
9509,1.09,Ideal,D,SI1,61.9,57.0,6133,6.57,6.61,4.08
9510,1.09,Ideal,D,SI1,62.7,56.0,6133,6.55,6.59,4.12
9511,1.21,Ideal,I,VS2,62.0,60.0,6135,6.77,6.84,4.22
9512,1.66,Ideal,F,I1,62.1,58.0,6135,7.6,7.56,4.71
9513,1.31,Premium,J,VS2,60.7,58.0,6137,7.1,7.07,4.3
9514,1.04,Very Good,D,SI1,58.9,58.0,6138,6.66,6.69,3.93
9515,1.17,Ideal,G,VS2,61.5,57.0,6139,6.86,6.8,4.2
9516,1.2,Ideal,D,SI2,60.2,57.0,6140,6.88,6.93,4.16
9517,1.29,Premium,I,SI1,62.1,57.0,6140,7.03,6.92,4.33
9518,1.29,Premium,I,SI1,62.1,58.0,6140,7.07,6.91,4.34
9519,1.29,Premium,I,SI1,62.2,58.0,6140,7.03,6.96,4.35
9520,1.04,Very Good,H,VS1,61.2,55.0,6141,6.54,6.56,4.01
9521,1.14,Premium,G,VS2,61.9,58.0,6144,6.68,6.72,4.15
9522,1.4,Very Good,J,SI1,63.5,58.0,6145,7.05,7.09,4.49
9523,1.03,Ideal,G,VS2,59.6,57.0,6146,6.65,6.6,3.95
9524,1.05,Premium,G,VS1,61.8,58.0,6146,6.54,6.51,4.03
9525,1.1,Ideal,F,SI1,61.4,55.0,6146,6.65,6.68,4.09
9526,1.03,Premium,G,VS2,62.1,57.0,6146,6.48,6.41,4.0
9527,1.03,Premium,G,VS2,62.3,57.0,6146,6.51,6.43,4.03
9528,1.32,Good,J,VS1,62.6,62.0,6147,6.92,7.01,4.36
9529,1.37,Very Good,G,SI2,62.4,58.0,6148,7.0,7.1,4.4
9530,1.3,Very Good,F,SI2,61.1,58.0,6149,6.98,7.02,4.28
9531,1.22,Premium,I,VS2,60.6,58.0,6149,6.93,6.89,4.19
9532,2.08,Premium,H,I1,61.7,57.0,6150,8.23,8.18,5.06
9533,1.01,Very Good,G,VS1,62.8,58.0,6152,6.34,6.37,3.99
9534,1.33,Good,D,SI2,59.0,64.0,6152,7.22,7.12,4.23
9535,1.22,Premium,H,SI1,62.4,58.0,6153,6.82,6.77,4.24
9536,1.09,Premium,G,VS2,60.6,62.0,6153,6.68,6.58,4.02
9537,1.0,Premium,F,VS2,62.5,54.0,6154,6.33,6.3,3.95
9538,1.51,Fair,I,SI2,66.0,57.0,6156,7.14,7.0,4.7
9539,1.19,Very Good,D,SI2,61.1,58.0,6157,6.84,6.88,4.19
9540,1.02,Ideal,D,SI1,61.3,56.0,6157,6.48,6.53,3.99
9541,1.02,Ideal,D,SI1,62.8,56.0,6158,6.44,6.39,4.03
9542,1.01,Ideal,G,VS2,61.6,57.0,6159,6.41,6.44,3.96
9543,1.01,Very Good,F,VS2,62.7,56.0,6159,6.37,6.43,4.01
9544,1.01,Very Good,F,VS2,62.0,59.0,6159,6.38,6.42,3.97
9545,1.01,Very Good,F,VS2,61.5,57.0,6159,6.4,6.48,3.96
9546,1.01,Very Good,F,VS2,61.3,61.0,6159,6.34,6.38,3.9
9547,1.01,Premium,F,VS2,60.7,60.0,6159,6.51,6.58,3.97
9548,1.0,Premium,G,VS2,61.9,58.0,6160,6.45,6.41,3.98
9549,1.0,Good,E,VS2,57.4,58.0,6160,6.61,6.57,3.78
9550,1.27,Very Good,H,SI1,63.2,56.0,6162,6.92,6.88,4.36
9551,1.0,Good,D,VS2,65.7,55.0,6163,6.17,6.22,4.07
9552,1.01,Premium,G,VS1,62.4,59.0,6163,6.38,6.35,3.97
9553,1.03,Very Good,G,VS2,62.9,56.0,6164,6.43,6.45,4.05
9554,1.28,Premium,H,SI2,62.0,57.0,6164,7.0,6.94,4.32
9555,1.01,Premium,F,VS2,63.0,58.0,6165,6.4,6.34,4.01
9556,1.05,Ideal,H,VS2,62.6,56.0,6165,6.45,6.5,4.05
9557,0.3,Ideal,H,VVS2,61.3,56.0,605,4.33,4.35,2.66
9558,0.3,Very Good,G,VS1,61.7,60.0,605,4.24,4.28,2.63
9559,0.3,Good,G,VS1,63.6,55.0,605,4.27,4.31,2.73
9560,0.3,Ideal,F,VS2,60.9,56.0,605,4.32,4.35,2.64
9561,0.3,Very Good,G,VS1,62.1,60.0,605,4.24,4.3,2.65
9562,0.3,Ideal,F,VS2,62.1,55.0,605,4.26,4.31,2.66
9563,0.36,Very Good,G,SI1,61.8,57.8,606,4.52,4.58,2.81
9564,0.35,Ideal,I,SI1,61.3,54.0,606,4.56,4.51,2.78
9565,0.38,Very Good,I,VS1,60.1,60.0,606,4.66,4.72,2.82
9566,0.3,Ideal,D,VS2,59.5,56.0,606,4.37,4.41,2.61
9567,0.41,Good,J,VS2,64.3,55.0,606,4.66,4.7,3.01
9568,0.37,Ideal,E,SI1,61.4,56.0,606,4.6,4.65,2.84
9569,0.32,Very Good,G,VVS2,64.0,55.0,607,4.31,4.35,2.77
9570,0.29,Very Good,G,VVS1,61.6,56.0,607,4.24,4.27,2.62
9571,0.29,Very Good,G,VVS1,62.0,55.0,607,4.27,4.29,2.65
9572,0.29,Very Good,G,VVS1,61.5,57.0,607,4.24,4.27,2.62
9573,0.29,Very Good,G,VVS1,61.4,56.0,607,4.25,4.28,2.62
9574,1.04,Very Good,H,VVS2,59.1,60.0,6166,6.6,6.66,3.92
9575,1.1,Ideal,F,VS2,60.0,57.0,6166,6.76,6.71,4.04
9576,1.2,Very Good,I,VS1,62.4,56.0,6167,6.78,6.74,4.22
9577,1.12,Ideal,E,SI2,61.6,56.0,6168,6.69,6.71,4.13
9578,1.02,Very Good,G,VS2,63.4,59.0,6169,6.32,6.3,4.0
9579,1.2,Ideal,H,SI1,61.9,54.0,6169,6.8,6.86,4.23
9580,1.06,Very Good,E,SI1,59.8,56.0,6169,6.63,6.67,3.98
9581,1.02,Premium,G,VS2,62.7,58.0,6169,6.45,6.4,4.03
9582,1.02,Very Good,G,VS2,63.2,57.0,6169,6.41,6.38,4.04
9583,1.02,Ideal,G,VS2,62.8,57.0,6169,6.46,6.41,4.04
9584,1.02,Premium,G,VS2,59.2,59.0,6169,6.66,6.58,3.92
9585,1.02,Premium,G,VS2,62.1,59.0,6169,6.47,6.41,4.0
9586,1.02,Premium,G,VS2,60.5,54.0,6169,6.57,6.48,3.95
9587,1.02,Premium,G,VS2,59.8,58.0,6169,6.58,6.54,3.92
9588,1.02,Ideal,G,VS2,61.9,53.0,6169,6.5,6.48,4.02
9589,1.51,Very Good,J,SI2,63.2,58.0,6171,7.28,7.25,4.59
9590,1.23,Premium,E,SI2,62.4,60.0,6172,6.82,6.78,4.24
9591,1.51,Premium,I,SI2,61.3,55.0,6173,7.41,7.36,4.53
9592,1.28,Good,G,SI1,57.6,62.0,6175,7.17,7.13,4.12
9593,1.49,Ideal,F,I1,62.6,54.0,6175,7.31,7.28,4.57
9594,1.38,Premium,J,VS2,60.2,59.0,6175,7.29,7.19,4.36
9595,1.01,Good,D,VS2,64.2,60.0,6176,6.35,6.32,4.07
9596,1.01,Ideal,G,VS1,62.9,57.0,6176,6.43,6.39,4.03
9597,1.01,Good,D,VS2,64.0,58.0,6176,6.3,6.24,4.01
9598,1.01,Premium,D,SI1,62.0,60.0,6176,6.4,6.37,3.96
9599,1.04,Ideal,G,VS2,62.6,55.0,6177,6.45,6.49,4.05
9600,1.04,Ideal,G,VS2,61.4,57.0,6177,6.5,6.53,4.0
9601,1.04,Very Good,G,VS2,61.9,57.0,6177,6.46,6.5,4.01
9602,1.04,Premium,G,VS2,62.5,58.0,6177,6.43,6.47,4.03
9603,1.0,Good,G,VS1,62.4,62.0,6177,6.33,6.37,3.96
9604,1.11,Good,E,SI1,61.4,57.5,6178,6.62,6.66,4.08
9605,1.21,Ideal,H,SI1,61.1,57.0,6180,6.91,6.83,4.2
9606,1.21,Premium,H,SI1,61.8,58.0,6180,6.83,6.79,4.21
9607,1.05,Premium,G,VS2,62.8,58.0,6181,6.48,6.44,4.06
9608,1.37,Premium,F,SI2,62.8,57.0,6181,7.12,7.08,4.46
9609,1.05,Premium,G,VS2,61.8,58.0,6181,6.59,6.52,4.05
9610,1.2,Premium,F,VS2,61.4,58.0,6182,6.8,6.75,4.16
9611,1.2,Good,H,SI1,64.2,60.0,6182,6.68,6.62,4.27
9612,1.0,Good,F,VS2,63.2,59.0,6183,6.3,6.35,4.0
9613,1.0,Very Good,F,VS2,62.2,57.0,6183,6.4,6.43,3.99
9614,1.0,Good,H,VVS1,63.5,60.0,6183,6.3,6.36,4.02
9615,1.0,Very Good,F,VS2,62.9,59.0,6183,6.4,6.47,4.02
9616,1.03,Premium,E,VS2,62.5,59.0,6183,6.44,6.42,4.02
9617,1.03,Ideal,F,SI1,62.1,56.0,6183,6.5,6.46,4.03
9618,1.54,Ideal,G,I1,61.6,55.0,6186,7.4,7.43,4.57
9619,1.0,Good,G,VS1,63.9,60.0,6187,6.3,6.35,4.04
9620,1.21,Very Good,H,VS2,62.9,57.0,6189,6.75,6.8,4.26
9621,1.0,Good,D,VS2,60.8,61.0,6189,6.33,6.4,3.87
9622,1.0,Good,D,VS2,62.8,61.0,6189,6.31,6.34,3.97
9623,1.0,Very Good,D,VS2,61.2,61.0,6190,6.35,6.39,3.9
9624,1.21,Very Good,G,SI1,62.2,60.0,6190,6.71,6.73,4.18
9625,1.33,Ideal,J,VS1,62.4,55.0,6190,7.02,7.05,4.39
9626,1.21,Ideal,D,SI2,62.0,57.0,6190,6.81,6.83,4.23
9627,1.18,Ideal,I,VS2,62.3,55.6,6191,6.73,6.76,4.21
9628,1.02,Ideal,D,SI1,62.3,57.0,6191,6.41,6.44,4.0
9629,1.54,Premium,J,VS1,60.9,61.0,6194,7.49,7.45,4.55
9630,1.58,Premium,F,SI2,59.1,59.0,6194,7.68,7.59,4.51
9631,1.23,Premium,I,VS2,59.3,59.0,6199,7.13,6.97,4.18
9632,1.35,Ideal,I,SI1,62.3,57.0,6199,7.11,7.05,4.41
9633,1.23,Ideal,H,SI2,62.1,56.0,6199,6.85,6.82,4.24
9634,1.07,Ideal,F,SI1,62.3,56.0,6200,6.51,6.53,4.06
9635,1.22,Ideal,J,VS1,61.4,58.0,6201,6.85,6.87,4.21
9636,1.16,Premium,H,VS2,62.3,56.0,6202,6.77,6.68,4.19
9637,1.01,Very Good,G,VS2,62.5,59.0,6204,6.34,6.37,3.97
9638,1.01,Very Good,F,VS2,59.2,60.0,6204,6.46,6.51,3.84
9639,1.02,Very Good,H,VS1,61.4,56.5,6204,6.44,6.47,3.97
9640,1.04,Premium,G,VS2,62.3,54.0,6206,6.55,6.49,4.06
9641,1.23,Premium,I,VS2,61.1,60.0,6206,6.95,6.89,4.23
9642,0.9,Very Good,D,VS1,62.2,58.0,6208,6.14,6.18,3.83
9643,1.0,Premium,G,VVS2,62.8,57.0,6209,6.38,6.29,3.98
9644,1.12,Ideal,G,VS2,62.1,57.0,6209,6.6,6.63,4.11
9645,1.1,Premium,D,VS2,60.0,59.0,6209,6.67,6.6,3.98
9646,1.0,Good,F,VS2,63.8,58.0,6209,6.32,6.28,4.02
9647,1.2,Good,F,VS1,64.0,56.0,6209,6.63,6.58,4.23
9648,1.28,Premium,H,SI1,62.1,62.0,6210,6.88,6.83,4.26
9649,1.06,Very Good,G,VS2,60.1,58.0,6212,6.64,6.67,4.0
9650,1.06,Good,G,VS2,63.1,59.0,6212,6.45,6.48,4.08
9651,1.01,Very Good,G,VS2,60.2,58.0,6213,6.51,6.54,3.93
9652,1.07,Premium,G,VS2,61.9,60.0,6213,6.55,6.48,4.03
9653,1.24,Premium,H,SI1,60.1,58.0,6215,7.04,7.01,4.22
9654,1.02,Premium,E,VS2,61.9,62.0,6215,6.47,6.38,3.98
9655,1.51,Good,J,SI2,58.1,64.0,6215,7.57,7.53,4.39
9656,1.0,Premium,G,VS2,61.6,54.0,6216,6.49,6.46,3.99
9657,1.22,Premium,I,VS2,60.3,59.0,6217,6.93,6.87,4.16
9658,1.03,Very Good,F,VS2,63.4,62.0,6218,6.34,6.31,4.01
9659,1.01,Premium,G,VS1,62.7,58.0,6221,6.31,6.36,3.97
9660,1.01,Very Good,E,VS2,62.9,58.0,6221,6.37,6.47,4.04
9661,1.01,Very Good,E,VS2,63.0,60.0,6221,6.32,6.35,3.99
9662,1.01,Good,E,VS2,62.5,58.0,6221,6.32,6.36,3.96
9663,1.01,Good,E,VS2,63.7,56.0,6221,6.27,6.29,4.0
9664,1.32,Fair,E,SI2,65.2,58.0,6221,6.86,6.79,4.45
9665,1.12,Ideal,H,VS2,61.8,55.0,6222,6.7,6.64,4.12
9666,1.0,Good,F,VS2,63.1,57.0,6223,6.32,6.36,4.0
9667,1.47,Premium,J,SI2,60.0,58.0,6223,7.36,7.31,4.4
9668,1.05,Very Good,E,SI1,59.7,57.0,6224,6.63,6.71,3.98
9669,1.5,Premium,G,SI2,61.8,60.0,6224,7.28,7.25,4.49
9670,1.5,Good,I,SI1,63.8,56.0,6224,7.26,7.15,4.59
9671,1.09,Ideal,I,VS1,61.8,55.0,6225,6.59,6.62,4.08
9672,1.09,Ideal,I,VS1,61.4,56.0,6225,6.61,6.66,4.07
9673,1.21,Very Good,H,SI1,60.2,58.0,6229,6.89,6.93,4.16
9674,1.03,Ideal,G,VS2,60.3,56.0,6229,6.59,6.55,3.96
9675,1.07,Premium,E,VS2,62.5,57.0,6232,6.6,6.53,4.1
9676,1.04,Very Good,G,VS2,63.4,55.0,6232,6.48,6.42,4.09
9677,1.0,Ideal,G,VS2,58.9,60.0,6235,6.53,6.58,3.86
9678,1.31,Premium,H,SI2,61.4,60.0,6236,7.04,7.0,4.31
9679,1.28,Premium,G,SI2,62.6,58.0,6236,6.94,6.89,4.33
9680,1.34,Very Good,J,VS1,61.7,59.0,6237,7.03,7.14,4.37
9681,1.34,Very Good,J,VS1,63.0,57.0,6237,6.9,7.01,4.38
9682,0.9,Ideal,G,VVS1,62.9,56.0,6237,6.11,6.19,3.87
9683,1.53,Good,I,SI2,63.9,59.0,6238,7.31,7.17,4.64
9684,1.02,Premium,F,VS1,61.4,59.0,6238,6.48,6.42,3.96
9685,1.01,Very Good,G,VS1,60.7,63.0,6239,6.38,6.4,3.88
9686,1.01,Ideal,G,VS2,61.6,56.0,6239,6.43,6.46,3.97
9687,1.26,Ideal,H,SI2,62.0,55.0,6239,6.9,6.97,4.29
9688,1.06,Ideal,G,VS2,61.8,57.0,6240,6.56,6.52,4.04
9689,1.03,Ideal,G,VS2,61.8,56.0,6241,6.54,6.48,4.02
9690,1.11,Ideal,D,SI2,61.3,56.0,6241,6.74,6.68,4.12
9691,1.0,Very Good,E,VS2,62.9,59.0,6245,6.27,6.38,3.98
9692,1.56,Good,I,SI1,64.0,57.0,6246,7.32,7.28,4.67
9693,1.56,Good,G,SI2,63.7,54.0,6246,7.35,7.31,4.67
9694,1.3,Premium,I,VS2,62.7,58.0,6246,6.97,6.9,4.35
9695,1.01,Good,G,VS1,58.7,62.0,6247,6.49,6.55,3.83
9696,1.0,Good,E,VS2,62.4,58.0,6248,6.33,6.4,3.97
9697,1.21,Very Good,D,SI2,62.4,58.0,6248,6.77,6.83,4.24
9698,1.06,Ideal,F,SI1,61.7,55.1,6249,6.56,6.58,4.06
9699,1.01,Good,E,VS2,60.8,63.0,6250,6.44,6.46,3.92
9700,1.22,Good,H,SI2,63.5,56.0,6250,6.84,6.77,4.32
9701,1.2,Premium,H,VS2,60.7,60.0,6250,6.88,6.82,4.16
9702,1.0,Good,D,VS1,64.0,58.0,6250,6.27,6.21,3.99
9703,1.5,Premium,H,SI2,61.1,59.0,6250,7.41,7.35,4.51
9704,1.5,Fair,H,SI2,64.6,59.0,6250,7.2,7.11,4.62
9705,1.04,Ideal,H,VS1,62.2,56.6,6255,6.43,6.49,4.02
9706,1.05,Ideal,H,SI1,61.3,57.0,6255,6.51,6.54,4.0
9707,1.53,Ideal,I,SI2,61.8,56.0,6255,7.4,7.35,4.56
9708,1.14,Premium,G,VS2,61.9,58.0,6256,6.72,6.68,4.15
9709,1.24,Premium,I,VS2,60.2,58.0,6257,6.98,6.93,4.19
9710,1.01,Very Good,F,VS2,58.8,63.0,6257,6.51,6.56,3.84
9711,1.01,Very Good,F,VS2,59.2,59.0,6257,6.49,6.61,3.88
9712,1.01,Very Good,G,VVS2,61.9,58.0,6257,6.38,6.48,3.98
9713,1.01,Ideal,D,SI1,62.2,54.0,6257,6.42,6.45,4.0
9714,1.04,Ideal,E,SI1,62.6,53.0,6260,6.49,6.52,4.07
9715,1.38,Ideal,J,SI1,61.8,56.0,6260,7.17,7.14,4.42
9716,1.37,Premium,G,SI2,62.4,58.0,6260,7.1,7.0,4.4
9717,1.21,Premium,E,SI1,60.0,60.0,6261,7.01,6.92,4.18
9718,1.21,Ideal,F,VS2,62.6,55.0,6261,6.81,6.74,4.24
9719,1.07,Very Good,H,VS1,62.5,56.0,6262,6.52,6.55,4.08
9720,1.12,Very Good,F,SI1,62.9,57.0,6262,6.6,6.62,4.16
9721,1.0,Very Good,G,VS1,62.4,60.0,6263,6.37,6.39,3.98
9722,1.02,Ideal,H,SI1,61.8,57.0,6264,6.43,6.46,3.98
9723,1.01,Very Good,E,VS2,61.7,60.0,6265,6.36,6.45,3.95
9724,1.51,Good,I,SI1,63.8,59.0,6266,7.27,7.21,4.62
9725,1.0,Good,F,VS2,63.3,55.0,6267,6.29,6.34,4.0
9726,1.0,Fair,E,VS2,57.4,58.0,6268,6.57,6.64,3.79
9727,1.01,Very Good,D,SI1,61.4,59.0,6270,6.37,6.43,3.93
9728,1.01,Fair,G,VS2,59.1,56.0,6271,6.55,6.52,3.86
9729,1.01,Premium,F,VS2,62.7,58.0,6271,6.37,6.3,3.97
9730,1.01,Premium,F,VS2,62.3,58.0,6271,6.34,6.3,3.94
9731,1.01,Good,F,VS2,60.8,61.0,6271,6.42,6.45,3.91
9732,1.01,Premium,F,VS2,61.3,61.0,6271,6.38,6.34,3.9
9733,1.01,Fair,F,VS2,61.1,60.0,6271,6.49,6.4,3.94
